Method,Success (%),Safe success (%),Steps (succ.),Path length (succ.),Shield interventions,Semantic cost
Long-horizon / Classical waypoint / PPO,81.0,--,526.5,17.3,31.9,0.000
Long-horizon / Classical waypoint / SAC,53.0,--,500.5,15.7,46.1,0.000
Long-horizon / Direct RL / PPO,43.0,--,446.8,14.7,61.1,0.000
Long-horizon / Direct RL / SAC,32.0,--,468.5,13.9,22.4,0.000
Long-horizon / Fast-safe route / PPO,64.0,--,506.9,16.6,72.9,0.000
Long-horizon / Fast-safe route / SAC,40.0,--,499.0,15.7,34.4,0.000
Long-horizon / Map-conditioned LLM / PPO,81.0,--,523.0,--,--,0.000
Long-horizon / Random waypoint / PPO,76.0,--,630.8,20.7,30.0,0.000
Semantic constraint / Classical waypoint / PPO,89.0,89.0,493.3,16.2,23.0,0.162
Semantic constraint / Classical waypoint / SAC,59.0,59.0,452.6,14.1,48.5,0.131
Semantic constraint / Direct RL / PPO,42.0,42.0,394.1,12.6,70.0,0.084
Semantic constraint / Direct RL / SAC,37.0,37.0,408.2,12.1,18.5,0.080
Semantic constraint / Fast-safe route / PPO,59.0,59.0,468.4,15.4,74.5,0.056
Semantic constraint / Fast-safe route / SAC,47.0,47.0,463.7,14.7,23.5,0.055
Semantic constraint / Map-conditioned LLM / PPO,78.0,78.0,486.4,--,--,0.082
Semantic constraint / Random waypoint / PPO,69.0,69.0,606.7,19.9,36.6,0.056
Semantic constraint / Rule semantic / PPO,61.0,61.0,556.3,18.3,47.5,0.012
Semantic constraint / Rule semantic / SAC,42.0,42.0,540.3,16.8,30.1,0.011
