Setting,Success (%),Safe success (%),Steps (succ.),Semantic cost
Long-horizon / PPO / no clearance term,64.0,0.0,507.0,0.000
Semantic constraint / SAC / no turn term,48.0,48.0,469.7,0.041
Long-horizon / PPO / shortest only,61.0,0.0,502.7,0.000
Long-horizon / SAC / no clearance term,40.0,0.0,499.0,0.000
Long-horizon / PPO / no semantic term,64.0,0.0,506.9,0.000
Semantic constraint / PPO / no clearance term,59.0,59.0,464.3,0.060
Semantic constraint / SAC / no clearance term,46.0,46.0,466.0,0.057
Semantic constraint / PPO / shortest only,61.0,61.0,439.6,0.121
Semantic constraint / PPO / no semantic term,61.0,61.0,440.4,0.114
Long-horizon / PPO / no turn term,64.0,0.0,503.4,0.000
Long-horizon / SAC / shortest only,41.0,0.0,497.6,0.000
Semantic constraint / PPO / full,59.0,59.0,468.4,0.056
Semantic constraint / SAC / no semantic term,44.0,44.0,407.6,0.101
Semantic constraint / SAC / full,47.0,47.0,463.7,0.055
Semantic constraint / SAC / shortest only,44.0,44.0,412.8,0.105
Long-horizon / SAC / no turn term,42.0,0.0,498.8,0.000
Semantic constraint / PPO / no turn term,61.0,61.0,473.1,0.044
Long-horizon / PPO / full,64.0,0.0,506.9,0.000
Long-horizon / SAC / no semantic term,40.0,0.0,499.0,0.000
Long-horizon / SAC / full,40.0,0.0,499.0,0.000
